LANG_KEY|LANG_1|LANG_2
for the course titled|لعنوان المادة الدراسية|For the Course Titled
For Year|لسنة|For Year
Forgot your Password?|هل نسيت كلمة السر؟|Forgot your Password?
Form|نموذج|Form
Form Compliant|النموذج متوافق|Form Compliant
Form has been successfully displayed|تم إظهار النموذج بنجاح|Form has been successfully displayed
Form has been successfully hidden|تم إخفاء النموذج بنجاح|Form has been successfully hidden
Form Input|مُدخل النموذج|Form Input
Form Name|اسم النموذج|Form Name
Form Ongoing or Saved|النماذج المستمرة أو المحفوظة|Form Ongoing or Saved
Form Partly Compliant|النموذج متوافق جزئيا|Form Partly Compliant
Form Result Delete Successfully|تم حذف نتيبجة النموذج بنجاح|Form Result Delete Successfully
Form Saved and Finish|تم حفظ و إرسال النموذج|Form Saved and Finish
Form Settings|إعدادات النموذج|Form Settings
Form Successfully Add|تم إضافة النموذج بنجاح|Form Successfully Added
Form Type|نوع النموذج|Form Type
Form Type Evaluation|تقييم نوع النموذج|Form Type Evaluation
Form Types|أنواع النماذج|Form Types
Format information|تصميم البيانات|Format Information
Forms|نماذج|Forms
Forms for This type|نماذج لهذا النوع|Forms for This type
Forms Type|نوع النماذج|Forms Type
Fourth Author|المؤلف الرابع|Fourth Author
From|من|From
From Date|من التاريخ|From Date
Full contribution|مساهمة كاملة|Full contribution
Full Initiative|مبادرات كاملة|Full Initiative
Full Name|الاسم الكامل|Full Name
Full participation|مشاركة كاملة|Full participation
Funds|موارد مالية|Funds
Funds Type|نوع الموارد المالية|Funds Type
Gantt|جانت|Gantt
Gender|الجنس|Gender
General|بشكل عام|General
General Info|بيانات عامة|General Info
General Information|البيانات العامة|General Information
General Report|تقرير عام|General Report
Generate|استخراج|Generate
Generate All Forms|استخراج جميع النماذج|Generate All Forms
Generate Forms|استخراج النماذج|Generate Forms
Generate PDF|استخراج PDF|Generate PDF
Generate Program Plan Courses Form|استخراج نماذج المواد الدراسية لخطة البرنامج|Generate Program Plan Courses Form
Generate Strategy|استخراج تخطيط  استراتيجي|Generate Strategy
Get Shared|الحصول على مشترك|Get Shared
Get Summary|الحصول على مراجعة|Get Summary
Go|اذهب|Go
Go back|رجوع|Go back
Goal|هدف|Goal
Goal not found|لم يتم العثور على الهدف|Goal not found
Goal removed successfully|تم حذف الهدف بنجاح|Goal removed successfully
Goal Successfully Saved|تم حفظ الهدف بنجاح|Goal Successfully Saved
Goals|أهداف|Goals
Good contribution|مساهمة جيدة|Good contribution
Good Initiative|مبادرات جيدة|Good Initiative
Good participation|مشاركة جيدة|Good participation
Good Performance|أداء جيد|Good Performance
Grade|علامة|Grade
Grading|العلامات|Grading
Grading Policies|سياسات العلامات|Grading Policies
Graduate Count|عدد الخريجين|Graduate Count
Graduated|تخرج|Graduated
Grant Date|تاريخ المنحة|Grant Date
Group|مجموعة|Group
Group Name|اسم المجموعة|Group Name
Group should have members|يجب أن تحتوي المجموعة على أعضاء|Group should have members
Groups|المجموعات|Groups
Help|مساعدة|Help
Hide|إخفاء|Hide
Highly Cited Paper in ISI Journals|ورق الاستشهاد العالية في مجلات ISI|Highly Cited Paper in ISI Journals
History Date|تاريخ التاريخ|History Date
Hobbies|الهوايات|Hobbies
Homework problems|مشاكل الوظيفة المنزلية|Homework problems
HTML Report|تقرير تفصيلي|Summary Report
Id|الرقم|Id
If Any|لو أي|If Any
If the KPI has multiple values and can be average|إذا كان يحتوي مؤشر الأداء على أكثر من قيمة ويمكن أن تكون معدّل|If the KPI has multiple values and can be average
If the values released per semester or academic year|اذا كانت القيم تحرر لكل فصل أو سنة دراسية|If the values released per semester or academic year
Illegal Inputs|مدخلات غير مسموحة|Illegal Inputs
Image|صورة|Image
Impact|التأثير|Impact
Import|تصدير|Import
Important|المهمة|Important
in|في|in
In Progress|في تقدم|In progress
In-class exercises format|تصميم التمارين الصفية|In-class exercises format
Inbox|البريد الوارد|Inbox
Income Messages|الرسائل الواردة|Income Messages
Independent Reviewer|مراجع مستقل|Independent Reviewer
Independent Reviewers|مراجعون مستقلون|Independent Reviewers
Information|المعلومات|Information
Initiate|بدء|Initiate
Initiative|المبادرة|Initiative
Initiative Milestone|معلم المبادرة|Initiative Milestone
Initiative Milestone Successfully Saved|تم حفظ معلم المبادرة بنجاح|Initiative Milestone Successfully Saved
Initiative removed successfully|تم حذف المبادرة بنجاح|Initiative removed successfully
Initiative Successfully Saved|تم حفظ المبادرة بنجاح|Initiative Successfully Saved
Initiatives|المبادرات|Initiatives
Input Label|تسمية المدخل|Input Label
Instance|نموذج|Instance
Institution|المؤسسة|Institution
Institution Account|حساب المؤسسة|Institution Account
Institution Benchmark|مؤشر المؤسسة|Institution Benchmark
Institution Criteria|مقياس المؤسسة|Institution Criteria
Institution Goals|أهداف المؤسسة|Institution Goals
Institution KPI|مؤشر أداء مؤسسي|Institution KPI
Institution Name|اسم المؤسسة|Institution Name
Institution Objectives|غايات المؤسسة|Institution Objectives
Institution Profile Tables|جداول الملف الشخصي للمؤسسة|Institution Profile Tables
Institutional|مؤسسة|Institutional
Institutional Requirement|متطلبات المؤسسة|Institutional Requirement
Institutions|المؤسسات|Institutions
Instructional and assessment methods|الأساليب التعليمية والتقيمية|Instructional and assessment methods
Instructor information|معلومات المدرس|Instructor information
Integrate|ربط|Integrate
Integrate Objective|ربط الغاية|Integrate Objective
Integration|ربط|Integration
Intermediate Proficiency|الكفاءة المتوسطة|Intermediate Proficiency
Internal Reviewer|مراجع داخلي|Internal Reviewer
International|دولي|International
International Accreditation|إعتماد دولي|International Accreditation
Invalid code!|الرمز خاطئ|Invalid code!
Invalid College!|كلية خاطئة|Invalid College!
Invalid Course|مادة دراسية خاطئة|Invalid Course
Invalid Department|قسم خاطئ|Invalid Department
Invalid Email|البريد الإلكتروني خاطىء|Invalid Email
Invalid Email or Password|البريد الإلكتروني أو كلمة السر خاطئة|Invalid Email or Password
Invalid End Date|تاريخ الانتهاء خاطئ|Invalid End Date
Invalid Form Name|اسم النموذج خاطئ|Invalid Form Name
Invalid Impact!|التأثير خاطئ|Invalid Impact!
Invalid Initiative!|المبادرة خاطئة|Invalid Initiative!
Invalid Kpi!|مؤشر أداء خاطئ|Invalid Kpi!
Invalid Name!|الاسم خاطئ|Invalid Name!
Invalid Objective!|غاية خاطئة|Invalid Objective!
Invalid Position|منصب خاطئ|Invalid Position
Invalid Program!|برنامج خاطئ|Invalid Program!
Invalid Risk!|المجازفة خاطئة|Invalid Risk!
Invalid role name!|اسم المسمى الوظيفي خاطئ|Invalid role name!
Invalid start and end date|تاريخ البدء والانتهاء خاطئ|Invalid start and end date
Invalid Start Date|تاريخ البدء خاطئ|Invalid Start Date
Invalid Student|طالب خاطئ|Invalid Student
Invalid Survey Id|رقم الاستبيان خاطئ|Invalid Survey Id
Invalid Target!|الهدف خاطئ|Invalid Target!
Invalid Title|الاسم خاطئ|Invalid Title
Invalid Type|النوع خاطئ|Invalid Type
